epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.086,1.185,1.93292,1.37421,0.57617,0.55133,0.62221,0.4049,1.05391,1.66454,1.28965,0.000474766,0.000474766,0.000474766
2,867.105,1.25839,1.52315,1.402,0.6934,0.69116,0.72752,0.4707,1.14036,1.61914,1.3621,0.000932268,0.000932268,0.000932268
3,1271.95,1.24436,1.3798,1.37879,0.68185,0.65558,0.71316,0.45427,1.16098,1.31108,1.42889,0.00137091,0.00137091,0.00137091
4,1689.99,1.27971,1.2988,1.38091,0.66063,0.73029,0.74115,0.45981,1.22772,1.30949,1.41295,0.00134412,0.00134412,0.00134412
5,2107.51,1.24314,1.19807,1.35605,0.76973,0.8038,0.8594,0.59031,1.08071,0.92271,1.29058,0.00131582,0.00131582,0.00131582
6,2529.11,1.22357,1.14995,1.33014,0.74098,0.7309,0.80457,0.52521,1.17442,1.04269,1.33349,0.00128753,0.00128753,0.00128753
7,2959.93,1.16855,1.05025,1.31545,0.80413,0.8805,0.89464,0.63082,1.11482,0.77767,1.26437,0.00125923,0.00125923,0.00125923
8,3361.42,1.16314,1.00762,1.30451,0.84205,0.82418,0.86743,0.63168,0.98082,0.75223,1.20896,0.00123094,0.00123094,0.00123094
9,3776.72,1.12032,0.96153,1.28757,0.87689,0.84132,0.92598,0.6852,0.95243,0.70137,1.18264,0.00120265,0.00120265,0.00120265
10,4208.63,1.14119,0.98478,1.30276,0.83569,0.87015,0.9169,0.64017,1.09036,0.71676,1.2417,0.00117435,0.00117435,0.00117435
11,4609.07,1.08453,0.87949,1.2503,0.89733,0.83191,0.91034,0.65563,0.94507,0.62994,1.19306,0.00114606,0.00114606,0.00114606
12,5023.03,1.09228,0.86982,1.25622,0.86239,0.87463,0.92803,0.67633,0.97609,0.63567,1.1879,0.00111776,0.00111776,0.00111776
13,5438.12,1.08816,0.85934,1.26386,0.84902,0.87561,0.93513,0.68968,0.97234,0.59866,1.16452,0.00108947,0.00108947,0.00108947
14,5852.22,1.06766,0.88464,1.24733,0.83958,0.80224,0.90278,0.63549,1.01457,0.69976,1.20573,0.00106118,0.00106118,0.00106118
15,6269.2,1.04644,0.79715,1.22273,0.85914,0.87683,0.93842,0.68951,0.99467,0.58088,1.18031,0.00103288,0.00103288,0.00103288
16,6686.15,1.03215,0.79751,1.22475,0.84076,0.88406,0.92409,0.69355,0.91525,0.57167,1.14521,0.00100459,0.00100459,0.00100459
17,7100.37,1.03083,0.77375,1.22465,0.90019,0.89346,0.9274,0.68331,0.94503,0.57549,1.14381,0.000976293,0.000976293,0.000976293
18,7513.88,1.05125,0.76699,1.23407,0.85402,0.92358,0.94307,0.7307,0.85848,0.53264,1.11186,0.000947999,0.000947999,0.000947999
19,7927.44,1.0073,0.73383,1.19742,0.86943,0.92092,0.93005,0.70181,0.92903,0.53912,1.14282,0.000919704,0.000919704,0.000919704
20,8339.6,1.03435,0.73365,1.21801,0.86165,0.90404,0.952,0.71423,0.92951,0.53196,1.15259,0.00089141,0.00089141,0.00089141
21,8751.03,0.98357,0.72451,1.19648,0.87962,0.94951,0.95727,0.72861,0.88508,0.50407,1.12128,0.000863116,0.000863116,0.000863116
22,9161.99,1.00335,0.70161,1.20674,0.86634,0.94417,0.94004,0.72297,0.87462,0.49421,1.11308,0.000834822,0.000834822,0.000834822
23,9574.59,0.99833,0.70248,1.20018,0.86113,0.87556,0.93719,0.70145,0.92673,0.56118,1.1373,0.000806528,0.000806528,0.000806528
24,9987.7,0.97412,0.67409,1.19573,0.87916,0.90544,0.93808,0.72034,0.90502,0.52854,1.12002,0.000778233,0.000778233,0.000778233
25,10402.7,0.97501,0.69747,1.1962,0.91651,0.89714,0.94972,0.71766,0.87887,0.51779,1.10683,0.000749939,0.000749939,0.000749939
26,10817,0.98062,0.67724,1.18996,0.94407,0.93878,0.96674,0.75394,0.84537,0.4693,1.09922,0.000721645,0.000721645,0.000721645
27,11232.1,0.95322,0.65861,1.18551,0.91586,0.95033,0.96727,0.7471,0.90493,0.47352,1.1022,0.000693351,0.000693351,0.000693351
28,11647.1,0.96805,0.64467,1.18576,0.89831,0.94945,0.95072,0.74687,0.84869,0.46807,1.10032,0.000665057,0.000665057,0.000665057
29,12058.9,0.94426,0.62533,1.16488,0.92181,0.94983,0.96218,0.73425,0.88519,0.45999,1.11308,0.000636762,0.000636762,0.000636762
30,12471.5,0.95404,0.61955,1.17736,0.92879,0.95767,0.96378,0.74268,0.85957,0.47054,1.10118,0.000608468,0.000608468,0.000608468
31,12883.5,0.95818,0.64886,1.17936,0.95507,0.95246,0.94523,0.73058,0.84584,0.44825,1.09539,0.000580174,0.000580174,0.000580174
32,13295.1,0.92845,0.61267,1.16102,0.92911,0.94852,0.96199,0.73991,0.88794,0.44999,1.10493,0.00055188,0.00055188,0.00055188
33,13706.6,0.90407,0.60104,1.15049,0.92789,0.93534,0.97058,0.74899,0.84329,0.43472,1.0963,0.000523586,0.000523586,0.000523586
34,14122.8,0.93707,0.61818,1.16572,0.94367,0.93031,0.95771,0.73728,0.85869,0.44881,1.0929,0.000495291,0.000495291,0.000495291
35,14538.7,0.91365,0.58514,1.16152,0.94382,0.94147,0.96263,0.75153,0.84825,0.43401,1.08483,0.000466997,0.000466997,0.000466997
36,14953.1,0.89715,0.59103,1.1454,0.93585,0.95717,0.96643,0.75942,0.82545,0.42033,1.06634,0.000438703,0.000438703,0.000438703
37,15370.8,0.91261,0.59102,1.15385,0.91763,0.94162,0.96038,0.76305,0.82842,0.41814,1.07347,0.000410409,0.000410409,0.000410409
38,15784.3,0.88224,0.5663,1.14319,0.9327,0.92767,0.96268,0.75654,0.8313,0.43073,1.08124,0.000382115,0.000382115,0.000382115
39,16197.6,0.89038,0.55861,1.14506,0.94491,0.92358,0.95766,0.75528,0.88256,0.4437,1.089,0.00035382,0.00035382,0.00035382
40,16611.7,0.88968,0.54721,1.14227,0.95098,0.91011,0.964,0.75504,0.86718,0.44298,1.08589,0.000325526,0.000325526,0.000325526
41,17021,0.77463,0.42326,1.0906,0.90541,0.94488,0.95684,0.74509,0.83737,0.43675,1.07626,0.000297232,0.000297232,0.000297232
42,17430.3,0.74757,0.3918,1.07025,0.90992,0.94953,0.96413,0.74922,0.83525,0.4353,1.08837,0.000268938,0.000268938,0.000268938
43,17839.5,0.7283,0.38767,1.06267,0.912,0.95194,0.95112,0.74359,0.81991,0.43475,1.06887,0.000240644,0.000240644,0.000240644
44,18248.2,0.72796,0.38405,1.05772,0.93903,0.94427,0.96813,0.76451,0.80853,0.40477,1.06225,0.000212349,0.000212349,0.000212349
45,18685.4,0.7086,0.37225,1.04828,0.94083,0.93274,0.96482,0.76859,0.8134,0.41672,1.06404,0.000184055,0.000184055,0.000184055
46,19099.3,0.70977,0.35715,1.05988,0.90435,0.96432,0.96842,0.76696,0.81789,0.40374,1.07103,0.000155761,0.000155761,0.000155761
47,19512.1,0.69512,0.34358,1.03272,0.93192,0.95847,0.96871,0.77142,0.81116,0.39541,1.06145,0.000127467,0.000127467,0.000127467
48,19923.5,0.69725,0.33887,1.04709,0.96215,0.92611,0.96732,0.7648,0.80812,0.3907,1.06834,9.91726e-05,9.91726e-05,9.91726e-05
49,20333.4,0.68705,0.34072,1.03311,0.92323,0.94801,0.96324,0.76574,0.83088,0.40958,1.06392,7.08784e-05,7.08784e-05,7.08784e-05
50,20742.8,0.68278,0.33184,1.04125,0.93244,0.95231,0.96239,0.76133,0.8138,0.39961,1.06147,4.25842e-05,4.25842e-05,4.25842e-05
